FilterID,wavelength,flux,error
Astrosat/UVIT.F148W,1481.0,2.5480704892078e-15,1.3611785968487e-16
Astrosat/UVIT.F154W,1541.0,2.2857305013384e-15,1.3684031345357002e-16
Astrosat/UVIT.F169M,1608.0,2.3607822633454002e-15,1.2611292749931e-16
GALEX/GALEX.NUV,2303.3663681246,3.2967019367178e-15,8.6771468346523e-17
KPNO/Mosaic.B,4357.2765381407,9.30940707988e-14,6.130610762489e-15
GAIA/GAIA3.Gbp,5035.7502754443,1.0285747647383e-13,3.8813026522141004e-16
KPNO/Mosaic.V,5366.2407861025,1.0793754563905999e-13,7.1081119698981e-15
GAIA/GAIA3.G,5822.3887136979,9.1742163787558e-14,2.5391545476097004e-16
GAIA/GAIA3.Grp,7619.9599926215,7.878733504276299e-14,3.1544360769216e-16
KPNO/Mosaic.I,8101.6095736941,4.4707969815031e-14,2.9441956782557e-15
GAIA/GAIA3.Grvs,8578.1595190347,6.8962797794359e-14,5.5596503685579e-16
2MASS/2MASS.J,12350.0,3.6124863966006e-14,7.3198904464015e-16
2MASS/2MASS.H,16620.0,1.8827784756659e-14,3.4682061211826e-16
2MASS/2MASS.Ks,21590.0,7.8275188425919e-15,1.2976940305499002e-16
WISE/WISE.W1,33526.0,1.5460870178224001e-15,2.990397412556e-17
WISE/WISE.W2,46028.0,4.3133076836181004e-16,7.1508657411329e-18
WISE/WISE.W3,115608.0,1.2303613869252e-17,4.3061779185647997e-19
