FilterID,wavelength,flux,error
Astrosat/UVIT.F148W,1481.0,1.1442250149629e-14,4.1100937214757004e-16
Astrosat/UVIT.F154W,1541.0,1.0230503862194e-14,3.1094719506717004e-16
Astrosat/UVIT.F169M,1608.0,8.621918903593e-15,2.620556656135e-16
GALEX/GALEX.NUV,2303.3663681246,3.2998346956099e-15,8.4107003403504e-17
KPNO/Mosaic.U,3630.2550034091,2.1994499917113e-16,3.1909011009869e-17
KPNO/Mosaic.B,4357.2765381407,3.3521390204367e-16,4.8631904027289e-17
GAIA/GAIA3.Gbp,5035.7502754443,2.2253250926925e-16,2.9349454368079e-17
KPNO/Mosaic.V,5366.2407861025,1.5717104421326e-16,2.2801939571863e-17
GAIA/GAIA3.G,5822.3887136979,9.211699856810001e-17,3.2749355959082e-19
GAIA/GAIA3.Grp,7619.9599926215,3.9642077921305e-17,2.4145554357725e-18
2MASS/2MASS.J,12350.0,3.0409285803183e-16,1.2043434526789e-17
2MASS/2MASS.H,16620.0,1.8382273553458002e-16,8.1267358194298e-18
2MASS/2MASS.Ks,21590.0,7.2849088426137e-17,4.4954648312925e-18
WISE/WISE.W1,33526.0,1.7816973477386e-17,4.2666101432552e-19
WISE/WISE.W2,46028.0,4.2034940694595e-18,1.9357805565652998e-19
