# Object photometry (observed + model)
#
# Object = WOCS1007 
# RA = 132.8931 deg
# DEC = 11.85297 deg
# Av = 0.1736+-0.017 
# D (pc) = 831.76 pc
# Model = Kurucz ODFNEW /NOVER, alpha: 0.0 (2003) 
# Teff = 7500 K
# logg = 2.5 
# Meta. = 0 
# Chi2 = 5.7004432218911 
# Md = 6.4211976822719E-21 
# Ftot = 1.1383904370775E-9 erg/cm2/s
# Ferr = 9.1123922808897E-12 erg/cm2/s
# Fobs/Ftot = 0.67878552884044 
# Nfit = 14 
# e_Teff = 125 K
# e_logg = 0.25 
# e_Meta. = 0.175 
# Teff_min = 7375 K
# Teff_max = 7625 K
# logg_min = 2.25 
# logg_max = 2.75 
# Meta_min = -0.25 
# Meta_max = 0.1 
# Vgf = 4.6831607420788 
# Vgfb = 2.4752983749839 
# Rad1 = 2.9562267892902 
# eRad1 = 0.03909600687962 
# Rad2 = 2.9386438341598 
# eRad2 = 0.11026339853682 
# M1 = 0.1007877776474 
# eM1 = 0.058079321418015 
# M2 = 0.099592418199515 
# eM2 = 0.057815109520298 
# Lbol = 24.616858920462 Lsun
# Lberr = 0.84816318441084 Lsun
#
#               FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
#                  (---)                (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)     (---)     (---)    (---) 
#=====================================================================================================================================================================================================
     Astrosat/UVIT.F148W               1481    7.4433659754845E-15    1.2340068146532E-16    1.1398493031198E-14    1.8897120098089E-16    4.3294299885032E-15         0         1       ---      --- 
     Astrosat/UVIT.F154W               1541    8.0594628252626E-15    1.1876863333753E-16    1.2233226692285E-14    1.8027549069358E-16    5.1982971576587E-15         0         1       ---      --- 
         GALEX/GALEX.FUV    1548.8489655268    4.6131335092276E-15    1.9438440080682E-16    7.0219196309656E-15    2.9588383627931E-16    3.7681548056564E-15         0         1       ---      --- 
     Astrosat/UVIT.F169M               1608    9.4045903384434E-15    1.6457700834452E-16    1.4161326426516E-14    2.4781820936306E-16    6.6409066860762E-15         0         1       ---      --- 
         GALEX/GALEX.NUV    2303.3663681246    4.4397507824104E-14    2.4381496750164E-16    7.0124764246043E-14    3.8509970387182E-16    4.6233792742471E-14         0         1       ---      --- 
           KPNO/Mosaic.B    4357.2765381407     2.342434552687E-13    1.8036381926516E-14    2.8901609009631E-13    2.2253789664714E-14    2.7141189125684E-13         1         0       ---      --- 
          GAIA/GAIA3.Gbp    5035.7502754443    1.6287333136428E-13    4.5453600227296E-16    1.9433770292099E-13    5.4234466647613E-16    1.9319994873458E-13         1         0       ---      --- 
           KPNO/Mosaic.V    5366.2407861025      1.56221754383E-13    1.2028832242292E-14    1.8415034572702E-13    1.4179290361058E-14    1.8739770851503E-13         1         0       ---      --- 
            GAIA/GAIA3.G    5822.3887136979    1.1147421781803E-13    2.8748033686509E-16    1.2811317046749E-13    3.3039045371883E-16    1.2884864415934E-13         1         0       ---      --- 
          GAIA/GAIA3.Grp    7619.9599926215    6.9328031899285E-14    2.4506964515265E-16    7.6751913355497E-14    2.7131253629331E-16    7.6456375271234E-14         1         0       ---      --- 
           KPNO/Mosaic.I    8101.6095736941    4.0242312289903E-14    3.0985954900393E-15    4.4216559706812E-14    3.4046063632123E-15    6.6993292590177E-14         1         0       ---      --- 
         GAIA/GAIA3.Grvs    8578.1595190347    5.4519444397322E-14    1.1891239852876E-15    5.9452164712262E-14    1.2967115827778E-15    5.6439296314045E-14         1         0       ---      --- 
           2MASS/2MASS.J              12350    2.1096264560461E-14    4.2746830979402E-16    2.2151657115346E-14    4.4885346403842E-16    2.2190321935054E-14         1         0       ---      --- 
           2MASS/2MASS.H              16620    8.4533706152374E-15    1.7128852544496E-16    8.7176459035886E-15    1.7664346923172E-16    8.7281909675929E-15         1         0       ---      --- 
          2MASS/2MASS.Ks              21590    3.3430900455499E-15    5.5423794984624E-17    3.4105476510903E-15    5.6542148498495E-17    3.3352366238029E-15         1         0       ---      --- 
            WISE/WISE.W1              33526    6.4726821108008E-16    1.3115433179217E-17    6.5468732591317E-16    1.3265764839534E-17    6.4744853385468E-16         1         0       ---      --- 
            WISE/WISE.W2              46028     1.862589434449E-16    3.4310165329043E-18    1.8776318305315E-16    3.4587256504903E-18    1.9258147180821E-16         1         0       ---      --- 
            WISE/WISE.W3             115608    4.9741752936784E-18    3.4818524118736E-19    5.0030252296156E-18    3.5020469593301E-19    5.2241541375819E-18         1         0       ---      --- 
            WISE/WISE.W4             220883    2.2239566344375E-18    1.7124120373272E-19    2.2308619977209E-18    1.7177290597122E-19    3.9705419617871E-19         1         0       ---        1 
