# Object photometry (observed + model)
#
# Object = Y1168 
# RA = 132.8331 deg
# DEC = 11.81147 deg
# Av = 0.1736+-0.017 
# D (pc) = 831.76 pc
# Model = Kurucz ODFNEW /NOVER, alpha: 0.0 (2003) 
# Teff = 3500 K
# logg = 0 
# Meta. = 0 
# Chi2 = 190.62030898583 
# Md = 2.9499242590844E-22 
# Ftot = 3.2939489487789E-12 erg/cm2/s
# Ferr = 4.5702523384911E-14 erg/cm2/s
# Fobs/Ftot = 0.63395533267216 
# Nfit = 13 
# e_Teff = 125 K
# e_logg = 0.25 
# e_Meta. = 0.175 
# Teff_min = 3500 K
# Teff_max = 3625 K
# logg_min = 0 
# logg_max = 0.25 
# Meta_min = -0.25 
# Meta_max = 0.1 
# Vgf = 188.67004338714 
# Vgfb = 70.807196753811 
# Rad1 = 0.63362916768081 
# eRad1 = 0.0083797259359538 
# Rad2 = 0.72584886671836 
# eRad2 = 0.053872264894207 
# M1 = 1.4642077266444E-5 
# eM1 = 8.4375499850817E-6 
# M2 = 1.9214309364474E-5 
# eM2 = 1.1422464459488E-5 
# Lbol = 0.071229232012403 Lsun
# Lberr = 0.0028722923082429 Lsun
#
#               FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
#                  (---)                (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)     (---)     (---)    (---) 
#=====================================================================================================================================================================================================
     Astrosat/UVIT.F148W               1481    7.4719399497474E-15    2.6839452968695E-16    1.1442250149629E-14    4.1100937214757E-16    1.1054414696566E-28         0         1       ---      --- 
     Astrosat/UVIT.F154W               1541    6.7400341410383E-15    2.0485742824042E-16    1.0230503862194E-14    3.1094719506717E-16    1.3278914571185E-28         0         1       ---      --- 
     Astrosat/UVIT.F169M               1608    5.7258488913685E-15    1.7403215678642E-16     8.621918903593E-15     2.620556656135E-16    1.7111555801081E-28         0         1       ---      --- 
         GALEX/GALEX.NUV    2303.3663681246    2.0891968520929E-15    5.3249966425088E-17    3.2998346956099E-15    8.4107003403504E-17    4.6558432613072E-22         0         1       ---      --- 
           KPNO/Mosaic.U    3630.2550034091    1.7040204606129E-16    2.4721456656731E-17    2.1994499917113E-16    3.1909011009869E-17    1.2846146053174E-18         1         0       ---      --- 
           KPNO/Mosaic.B    4357.2765381407    2.7168612876413E-16    3.9415470716014E-17    3.3521390204367E-16    4.8631904027289E-17    1.6998149581465E-17         1         0       ---      --- 
          GAIA/GAIA3.Gbp    5035.7502754443    1.8650323934451E-16     2.459761196517E-17    2.2253250926925E-16    2.9349454368079E-17    4.5063943379388E-17         1         0       ---      --- 
           KPNO/Mosaic.V    5366.2407861025    1.3333418500121E-16    1.9343754089563E-17    1.5717104421326E-16    2.2801939571863E-17    4.9113055926488E-17         1         0       ---      --- 
            GAIA/GAIA3.G    5822.3887136979    8.0153120289291E-17    2.8495968261976E-19      9.21169985681E-17    3.2749355959082E-19    9.0647321529492E-17         1         0       ---      --- 
          GAIA/GAIA3.Grp    7619.9599926215    3.5807670747603E-17    2.1810059053315E-18    3.9642077921305E-17    2.4145554357725E-18    1.2925430295217E-16         1         0       ---      --- 
           2MASS/2MASS.J              12350    2.8960467158648E-16    1.1469637674091E-17    3.0409285803183E-16    1.2043434526789E-17     1.511718900004E-16         1         0       ---      --- 
           2MASS/2MASS.H              16620    1.7825015241109E-16    7.8803739603011E-18    1.8382273553458E-16    8.1267358194298E-18    1.3247269447108E-16         1         0       ---      --- 
          2MASS/2MASS.Ks              21590    7.1408198113562E-17    4.4065485268353E-18    7.2849088426137E-17    4.4954648312925E-18    6.3039721712245E-17         1         0       ---      --- 
            WISE/WISE.W1              33526    1.7615066143954E-17     4.218259626378E-19    1.7816973477386E-17    4.2666101432552E-19    1.3050902458559E-17         1         0         1      --- 
            WISE/WISE.W2              46028    4.1698183393749E-18    1.9202723097476E-19    4.2034940694595E-18    1.9357805565653E-19    3.1655903866703E-18         1         0       ---      --- 
            WISE/WISE.W3             115608    6.7533784251627E-19     9.797614282408E-20    6.7925476388358E-19     9.854439892222E-20    1.0363958786124E-19         1         0       ---        1 
            WISE/WISE.W4             220883    1.3624680115321E-18    1.9766308370006E-19    1.3666984611892E-18    1.9827682561369E-19    8.5698995670753E-21         1         0       ---        1 
