# Object photometry (observed + model)
#
# Object = WOCS2002 
# RA = 132.8492 deg
# DEC = 11.8304 deg
# Av = 0.1736+-0 
# D (pc) = 831.76 pc
# Model = Kurucz ODFNEW /NOVER models 
# Teff = 5250 K
# logg = 4.5 
# Meta. = 0 
# Chi2 = 4.9529160803008 
# Md = 2.1059405038352E-20 
# Ftot = 9.068702978123E-10 erg/cm2/s
# Ferr = 2.5547631009326E-11 erg/cm2/s
# Fobs/Ftot = 0.69878660317314 
# Nfit = 11 
# e_Teff = 125 K
# e_logg = 0.25 
# e_Meta. = 0.175 
# Teff_min = 5125 K
# Teff_max = 5375 K
# logg_min = 4.25 
# logg_max = 4.75 
# Meta_min = -0.25 
# Meta_max = 0.1 
# Vgf = 4.7705971798467 
# Vgfb = 0.22755591736362 
# Rad1 = 5.3513769123591 
# eRad1 = 0.070771792387168 
# Rad2 = 5.3504415751624 
# eRad2 = 0.29371151711497 
# M1 = 33.054214633498 
# eM1 = 19.047610739421 
# M2 = 33.042660921221 
# eM2 = 19.363743482081 
# Lbol = 19.610405580808 Lsun
# Lberr = 1.0711427993364 Lsun
#
#               FilterID       Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
#                  (---)              (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)     (---)     (---)    (---) 
#===================================================================================================================================================================================================
     Astrosat/UVIT.F148W             1481     2.412714773509E-16     5.111042585438E-18    3.6711551312906E-16    7.7768953130279E-18    2.5905457312849E-19         0         1       ---      --- 
     Astrosat/UVIT.F154W             1541    2.2206391647933E-16     1.186264867963E-17    3.3614462026211E-16    1.7956836927571E-17    4.8137977159625E-19         0         1       ---      --- 
     Astrosat/UVIT.F169M             1608    2.2142331120112E-16     1.325599640594E-17    3.3328288641238E-16    1.9952717356082E-17    6.1969917989651E-19         0         1       ---      --- 
           KPNO/Mosaic.B    4358.51758957    7.5030420532582E-14    4.9410483362067E-15    9.2540787820812E-14    6.0941749019616E-15    8.8554943320108E-14         1         0       ---      --- 
          GAIA/GAIA2.Gbp             5050    8.5795506967966E-14    5.6499716241627E-15    1.0277571321066E-13    6.7681849995958E-15    1.0171899653681E-13         1         0       ---      --- 
           KPNO/Mosaic.V    5366.30245847    9.1540122018946E-14      6.02827712263E-15    1.0802890743712E-13    7.1141285036864E-15    1.1140733101415E-13         1         0       ---      --- 
            GAIA/GAIA2.G             6230    8.1849024357328E-14    5.3900802201329E-15    9.5082862693534E-14    6.2615805319876E-15    9.2210347268108E-14         1         0       ---      --- 
           KPNO/Mosaic.R    6454.65712045    7.9849562004705E-14    5.2584077590083E-15     9.114165559661E-14    6.0020365412879E-15    1.0077917224771E-13         1         0       ---      --- 
          GAIA/GAIA2.Grp             7730    7.3093421098028E-14    4.8134893039449E-15    8.1189682312996E-14    5.3466599528864E-15    8.0872008059093E-14         1         0       ---      --- 
           KPNO/Mosaic.I    8100.89992028    4.1028048647253E-14                      0    4.5125428760573E-14                      0    7.5269653255536E-14         0         0       ---      --- 
           2MASS/2MASS.J            12350    3.4403732572655E-14    6.9711419153331E-16    3.6142865318862E-14    7.3235380153146E-16    3.5571528629817E-14         1         0       ---      --- 
           2MASS/2MASS.H            16620    1.8257020779708E-14     3.363067511187E-16    1.8833073391808E-14    3.4691803237791E-16    1.9523024430908E-14         1         0       ---      --- 
          2MASS/2MASS.Ks            21590     7.672697467123E-15    1.2720267943812E-16    7.8283615302401E-15    1.2978337364711E-16    7.6774260214426E-15         1         0       ---      --- 
            WISE/WISE.W1            33526    1.5285662920146E-15    2.9565093244227E-17    1.5464090552331E-15    2.9910202881306E-17     1.498614814991E-15         1         0       ---      --- 
            WISE/WISE.W2            46028    4.2787521964626E-16    7.0935775374171E-18    4.3137508502703E-16    7.1516004499605E-18    4.2473085643581E-16         1         0       ---      --- 
            WISE/WISE.W3           115608    1.2232665102129E-17    4.2813463513863E-19    1.2345021828411E-17    4.3206704116875E-19    1.2002291725314E-17         0         0       ---      --- 
            WISE/WISE.W4           220883    2.3984259507761E-18                      0    2.4060932561576E-18                      0    9.0281895023563E-19         0         0       ---        1 
