# Object final SED
#
# Object = WOCS2002 
# RA = 132.8492 deg
# DEC = 11.8304 deg
# Av = 0.1736+-0 
#
#               FilterID       Wavelength               Obs.Flux              Obs.Error                   Flux                  Error    Excess    Point Props       Service               dis (VO)    dis_2 (VO)    Nobjs    Obs.Qua (VO)               RA (VO)              DEC (VO) 
#                  (---)              (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)          (---)         (---)                  (deg)         (deg)    (---)           (---)                 (deg)                 (deg) 
#======================================================================================================================================================================================================================================================================================
     Astrosat/UVIT.F148W             1481     2.412714773509E-16     5.111042585438E-18    3.6711551312906E-16    7.7768953130279E-18         1            ---          user                    ---           ---      ---             ---                   ---                   --- 
     Astrosat/UVIT.F154W             1541    2.2206391647933E-16     1.186264867963E-17    3.3614462026211E-16    1.7956836927571E-17         1            ---          user                    ---           ---      ---             ---                   ---                   --- 
     Astrosat/UVIT.F169M             1608    2.2142331120112E-16     1.325599640594E-17    3.3328288641238E-16    1.9952717356082E-17         1            ---          user                    ---           ---      ---             ---                   ---                   --- 
           KPNO/Mosaic.B    4358.51758957    7.5030420532582E-14                      0    9.2540787820812E-14                      0         0            ---          user                    ---           ---      ---             ---                   ---                   --- 
          GAIA/GAIA2.Gbp             5050    8.5795506967966E-14                      0    1.0277571321066E-13                      0         0            ---     gaia2.Gbp    0.00018835144509232           ---        1             ---    132.84901200565852    11.830359755856616 
           KPNO/Mosaic.V    5366.30245847    9.1540122018946E-14                      0    1.0802890743712E-13                      0         0            ---          user                    ---           ---      ---             ---                   ---                   --- 
            GAIA/GAIA2.G             6230    8.1849024357328E-14                      0    9.5082862693534E-14                      0         0            ---       gaia2.G    0.00018835144509232           ---        1             ---    132.84901200565852    11.830359755856616 
           KPNO/Mosaic.R    6454.65712045    7.9849562004705E-14                      0     9.114165559661E-14                      0         0            ---          user                    ---           ---      ---             ---                   ---                   --- 
          GAIA/GAIA2.Grp             7730    7.3093421098028E-14                      0    8.1189682312996E-14                      0         0            ---     gaia2.Grp    0.00018835144509232           ---        1             ---    132.84901200565852    11.830359755856616 
           KPNO/Mosaic.I    8100.89992028    4.1028048647253E-14                      0    4.5125428760573E-14                      0         0          nofit          user                    ---           ---      ---             ---                   ---                   --- 
           2MASS/2MASS.J            12350    3.4403732572655E-14    6.9711419153331E-16    3.6142865318861E-14    7.3235380153146E-16         0            ---       2mass.J    0.00014308033860483           ---        1               A          132.84905800          +11.83036600 
           2MASS/2MASS.H            16620    1.8257020779708E-14     3.363067511187E-16    1.8833073391807E-14    3.4691803237791E-16         0            ---       2mass.H    0.00014308033860483           ---        1               A          132.84905800          +11.83036600 
          2MASS/2MASS.Ks            21590     7.672697467123E-15    1.2720267943812E-16    7.8283615302401E-15    1.2978337364711E-16         0            ---       2mass.K    0.00014308033860483           ---        1               A          132.84905800          +11.83036600 
            WISE/WISE.W1            33526    1.5285662920146E-15    2.9565093244227E-17    1.5464090552331E-15    2.9910202881305E-17         0            ---    allwise.W1    0.00016525538246429           ---        1             ---         132.849038100         +11.830353100 
            WISE/WISE.W2            46028    4.2787521964626E-16    7.0935775374171E-18    4.3137508502704E-16    7.1516004499605E-18         0            ---    allwise.W2    0.00016525538246429           ---        1             ---         132.849038100         +11.830353100 
            WISE/WISE.W3           115608    1.2232665102129E-17    4.2813463513863E-19    1.2345021828411E-17    4.3206704116875E-19         0          nofit    allwise.W3    0.00016525538246429           ---        1             ---         132.849038100         +11.830353100 
            WISE/WISE.W4           220883    2.3984259507761E-18                      0    2.4060932561576E-18                      0         0    uplim,nofit    allwise.W4    0.00016525538246429           ---        1             ---         132.849038100         +11.830353100 
