# Object photometry (observed + model)
#
# Object = WOCS2002 
# RA = 132.8492 deg
# DEC = 11.8304 deg
# Av = 0.1736+-0 
# D (pc) = 831.76 pc
# Model = Kurucz ODFNEW /NOVER models 
# Teff = 5250 K
# logg = 3.5 
# Meta. = 0 
# Chi2 = 1.9356159509123 
# Md = 2.1194762034195E-20 
# Ftot = 9.0794579680721E-10 erg/cm2/s
# Ferr = 4.2373864617126E-11 erg/cm2/s
# Fobs/Ftot = 0.69870743500328 
# Nfit = 13 
# e_Teff = 125 K
# e_logg = 0.25 
# e_Meta. = 0.175 
# Teff_min = 5125 K
# Teff_max = 5375 K
# logg_min = 3.25 
# logg_max = 3.75 
# Meta_min = -0.25 
# Meta_max = 0.1 
# Vgf = 1.8158868066443 
# Vgfb = 0.2126045074262 
# Rad1 = 5.3685470582569 
# eRad1 = 0.070998867029944 
# Rad2 = 5.3536133018477 
# eRad2 = 0.32140440490766 
# M1 = 3.3266666940892 
# eM1 = 1.9170037149996 
# M2 = 3.3081847725217 
# eM2 = 1.9453292660166 
# Lbol = 19.633662458382 Lsun
# Lberr = 1.4356129127817 Lsun
#
#               FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
#                  (---)                (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)     (---)     (---)    (---) 
#=====================================================================================================================================================================================================
     Astrosat/UVIT.F148W               1481     2.412714773509E-16     5.111042585438E-18    3.6711551312906E-16    7.7768953130279E-18    1.6516215345477E-19         0         1       ---      --- 
     Astrosat/UVIT.F154W               1541    2.2206391647933E-16     1.186264867963E-17    3.3614462026211E-16    1.7956836927571E-17    3.3061399478476E-19         0         1       ---      --- 
         GALEX/GALEX.FUV    1549.0192991969    1.8756910123087E-15    4.0527067225489E-17    2.8485232387659E-15    6.1546540466034E-17    2.4676189088244E-19         0         1       ---      --- 
     Astrosat/UVIT.F169M               1608    2.2142331120112E-16     1.325599640594E-17    3.3328288641238E-16    1.9952717356082E-17    4.2658274222725E-19         0         1       ---      --- 
           KPNO/Mosaic.B      4358.51758957    7.5030420532582E-14    4.9410483362067E-15    9.2540787820812E-14    6.0941749019616E-15    8.9112249992381E-14         1         0       ---      --- 
          GAIA/GAIA2.Gbp               5050    8.5795506967966E-14    5.6499716241627E-15    1.0277571321066E-13    6.7681849995958E-15    1.0262278941295E-13         1         0       ---      --- 
           KPNO/Mosaic.V      5366.30245847    9.1540122018946E-14      6.02827712263E-15    1.0802890743712E-13    7.1141285036864E-15    1.1316468292513E-13         1         0       ---      --- 
            GAIA/GAIA2.G               6230    8.1849024357328E-14    5.3900802201329E-15    9.5082862693534E-14    6.2615805319876E-15    9.2947484690728E-14         1         0       ---      --- 
           KPNO/Mosaic.R      6454.65712045    7.9849562004705E-14    5.2584077590083E-15     9.114165559661E-14    6.0020365412879E-15    1.0146363634263E-13         1         0       ---      --- 
          GAIA/GAIA2.Grp               7730    7.3093421098028E-14    4.8134893039449E-15    8.1189682312996E-14    5.3466599528864E-15    8.1414056492648E-14         1         0       ---      --- 
           KPNO/Mosaic.I      8100.89992028    4.1028048647253E-14                      0    4.5125428760573E-14                      0    7.5803430117415E-14         0         0       ---      --- 
           2MASS/2MASS.J              12350    3.4403732572655E-14    6.9711419153331E-16    3.6142865318862E-14    7.3235380153146E-16     3.584732341029E-14         1         0       ---      --- 
           2MASS/2MASS.H              16620    1.8257020779708E-14     3.363067511187E-16    1.8833073391808E-14    3.4691803237791E-16    1.9551983716744E-14         1         0       ---      --- 
          2MASS/2MASS.Ks              21590     7.672697467123E-15    1.2720267943812E-16    7.8283615302401E-15    1.2978337364711E-16    7.7056714698187E-15         1         0       ---      --- 
            WISE/WISE.W1              33526    1.5285662920146E-15    2.9565093244227E-17    1.5464090552331E-15    2.9910202881306E-17    1.5083458272484E-15         1         0       ---      --- 
            WISE/WISE.W2              46028    4.2787521964626E-16    7.0935775374171E-18    4.3137508502703E-16    7.1516004499605E-18     4.262386145829E-16         1         0       ---      --- 
            WISE/WISE.W3             115608    1.2232665102129E-17    4.2813463513863E-19    1.2345021828411E-17    4.3206704116875E-19    1.2118277977541E-17         1         0       ---      --- 
            WISE/WISE.W4             220883    2.3984259507761E-18    1.5794578344994E-19    2.4060932561576E-18    1.5845070566988E-19    9.1077011561809E-19         1         0       ---        1 
