# All data in vosa format
#
#                  Object                      RA                     DEC                  D (pc)                      Av                FilterID                Obs.Flux               Obs.Error             Point Props                         
#                   (---)                   (deg)                   (deg)                    (pc)                   (---)                   (---)           (erg/s/cm2/A)           (erg/s/cm2/A)                   (---)                   (---) 
#=================================================================================================================================================================================================================================================
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F148W     7.4433659754845E-15     1.2340068146532E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F154W     8.0594628252626E-15     1.1876863333753E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017         GALEX/GALEX.FUV     4.6131335092276E-15     1.9438440080682E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F169M     9.4045903384434E-15     1.6457700834452E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017         GALEX/GALEX.NUV     4.4397507824104E-14     2.4381496750164E-16               nofit,bad   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017           KPNO/Mosaic.B      2.342434552687E-13                       0                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017          GAIA/GAIA3.Gbp     1.6287333136428E-13     4.5453600227296E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017           KPNO/Mosaic.V       1.56221754383E-13                       0                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017            GAIA/GAIA3.G     1.1147421781803E-13     2.8748033686509E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017          GAIA/GAIA3.Grp     6.9328031899285E-14     2.4506964515265E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017           KPNO/Mosaic.I     4.0242312289903E-14                       0                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017         GAIA/GAIA3.Grvs     5.4519444397322E-14     1.1891239852876E-15                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017           2MASS/2MASS.J     2.1096264560461E-14     4.2746830979402E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017           2MASS/2MASS.H     8.4533706152374E-15     1.7128852544496E-16                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017          2MASS/2MASS.Ks     3.3430900455499E-15     5.5423794984624E-17                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017            WISE/WISE.W1     6.4726821108008E-16     1.3115433179217E-17                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017            WISE/WISE.W2      1.862589434449E-16     3.4310165329043E-18                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017            WISE/WISE.W3     4.9741752936784E-18     3.4818524118736E-19                     ---   Veil:3000,excfil:none 
                 WOCS1007                132.8931                11.85297              831.76+-11           0.1736+-0.017            WISE/WISE.W4     2.2239566344375E-18                       0                   uplim   Veil:3000,excfil:none 
                 WOCS2002                132.8492                 11.8304              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F148W     1.6639235669657E-15     8.8886753947301E-17                     ---   Veil:3000,excfil:none 
                 WOCS2002                132.8492                 11.8304              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F154W     1.5058790675173E-15     9.0152782010644E-17                     ---   Veil:3000,excfil:none 
                 WOCS2002                132.8492                 11.8304              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F169M     1.5678044129719E-15     8.3752071224914E-17                     ---   Veil:3000,excfil:none 
