# Object model fit+ results
#
#      Object          RA         DEC    D (pc)         Model     mfid    Teff     logg    Meta.     more               Chi2                     Md                  Ftot                   Ferr           Fobs/Ftot               Lbol               Lberr    MaxLam     Nfit     Ntot               Av    e_Teff    e_logg    e_Meta.    Teff_min    Teff_max    logg_min    logg_max    Meta_min    Meta_max    excfit    err_Av               Rad1                eRad1               Rad2                eRad2                     M1                    eM1                     M2                    eM2    Teff_min_68cl    Teff_max_68cl    Teff_min_96cl    Teff_max_96cl    logg_min_68cl    logg_max_68cl    logg_min_96cl    logg_max_96cl    Meta_min_68cl    Meta_max_68cl    Meta_min_96cl    Meta_max_96cl    Av_min_68cl    Av_max_68cl    Av_min_96cl    Av_max_96cl    Ftot_min_68cl    Ftot_max_68cl    Ftot_min_96cl    Ftot_max_96cl                Vgf               Vgfb           Teff_pol           logg_pol    Meta_pol    Av_pol              Ftot_pol 
#       (---)       (deg)       (deg)      (pc)         (---)    (---)     (K)    (---)    (---)    (---)              (---)                  (---)           (erg/cm2/s)            (erg/cm2/s)               (---)             (Lsun)              (Lsun)       (A)    (---)    (---)            (---)       (K)     (---)      (---)         (K)         (K)       (---)       (---)       (---)       (---)     (---)     (---)              (---)                (---)              (---)                (---)                  (---)                  (---)                  (---)                  (---)              (K)              (K)              (K)              (K)            (---)            (---)            (---)            (---)            (---)            (---)            (---)            (---)          (---)          (---)          (---)          (---)      (erg/cm2/s)      (erg/cm2/s)      (erg/cm2/s)      (erg/cm2/s)              (---)              (---)                (K)              (---)       (---)     (---)           (erg/cm2/s) 
#===================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10395    7500      2.5        0      ---    5.7004432218911    6.4211976822719E-21    1.1383904370775E-9    9.1123922808897E-12    0.67878552884044    24.616858920462    0.84816318441084    220883       14       19    0.1736+-0.017       125      0.25      0.175        7375        7625        2.25        2.75       -0.25         0.1       ---       ---    2.9562267892902     0.03909600687962    2.9386438341598     0.11026339853682        0.1007877776474      0.058079321418015      0.099592418199515      0.057815109520298              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    4.6831607420788    2.4752983749839    7533.9794897853    2.3919286834058         ---       ---    1.1575997386968E-9 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10394    7500        2        0      ---    7.4097721394607    6.3676778642566E-21    1.1273060655768E-9    9.1123922808897E-12    0.68545976860611    24.377167510057    0.84182336159066    220883       14       19    0.1736+-0.017       125      0.25      0.175        7375        7625        1.75        2.25       -0.25         0.1       ---       ---    2.9438811345155    0.038932735981137    2.9243022264014     0.10977815888388      0.031606245824498      0.018213213475942      0.031187235700375      0.018104871897116              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    4.8409453009038    2.2951004501432                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10406    7750      3.5        0      ---    7.9445519996595    5.8470515644071E-21    1.1854251565599E-9    9.1123922808897E-12    0.65185300867159    25.633950259383    0.87506518673874    220883       14       19    0.1736+-0.017       125      0.25      0.175        7625        7875        3.25        3.75       -0.25         0.1       ---       ---    2.8209681969886    0.037307216224481    2.8083906889805     0.10249340116382       0.91775921272964       0.52886206586425       0.90959365389899       0.52779660264204              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    6.3748257538121    2.4915437446071                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10381    7250      0.5        0      ---    9.3789382759503    7.1057960344442E-21    1.1010489113428E-9    9.1123922808897E-12    0.70180620215695    23.809375792577    0.82680530616053    220883       14       19    0.1736+-0.017       125      0.25      0.175        7125        7375        0.25        0.75       -0.25         0.1       ---       ---    3.1098260470041    0.041127352261524     3.092795128231     0.11940492879703     0.0011153330362412    0.00064271469628594     0.0011031502757058    0.00064071170507592              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    8.2450787953079    2.8197710557199                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10382    7250        1        0      ---     9.749292339029    7.1235105290627E-21    1.1018779788387E-9    9.1123922808897E-12    0.70127815393217    23.827303769585    0.82727950003158    220883       14       19    0.1736+-0.017       125      0.25      0.175        7125        7375        0.75        1.25       -0.25         0.1       ---       ---    3.1136999765057    0.041178584858088    3.0939593151177     0.11944554306822      0.003535785410546     0.0020375091317388     0.0034910942179176     0.0020276326303624              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    8.2283185780126    2.8349302151587                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10407    7750        4        0      ---    9.8633581691379    5.9357663562894E-21    1.2059816394808E-9    9.1123922808897E-12     0.6407418898941    26.078469137514    0.88682268327486    220883       14       19    0.1736+-0.017       125      0.25      0.175        7625        7875        3.75        4.25       -0.25         0.1       ---       ---    2.8422882982239    0.037589173896873    2.8326362116369     0.10329158917366        2.9462434283423        1.6977834321246        2.9262671918583        1.6979597394723              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    5.7425842872015    2.7577882909725                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10396    7500        3        0      ---    10.992460045069    6.4868422570664E-21    1.1531127836726E-9    9.1123922808897E-12    0.67011914688642    24.935218876155    0.85658378533569    220883       14       19    0.1736+-0.017       125      0.25      0.175        7375        7625        2.75        3.25       -0.25         0.1       ---       ---    2.9712992730167    0.039295340005751    2.9575849420462     0.11090479724297       0.32197723467205       0.18554054606923        0.3190118573088       0.18518993085745              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---     5.858147653076    2.8174670656954                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10393    7500      1.5        0      ---    12.325120476503    6.3313265958336E-21    1.1201651416127E-9    9.1123922808897E-12    0.68982949580633    24.222750262634    0.83773903505019    220883       14       19    0.1736+-0.017       125      0.25      0.175        7375        7625        1.25        1.75       -0.25         0.1       ---       ---    2.9354662161578    0.038821448948898    2.9150255112021     0.10946447710456     0.0099377151853726     0.0057266443202188     0.0097997972929577     0.0056890265578749              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    5.8830467023539    2.2154006927586                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10391    7500      0.5        0      ---    12.395081078618    6.3257889808489E-21    1.1251406287567E-9    9.1123922808897E-12    0.68677899909488    24.330341525785    0.84058481723415    220883       14       19    0.1736+-0.017       125      0.25      0.175        7375        7625        0.25        0.75       -0.25         0.1       ---       ---     2.934182201076    0.038804467889578    2.9214922372613     0.10968312633779    0.00099290232880757    0.00057216355829629    0.00098433254868227    0.00057142746748631              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    9.7077695128995    2.5625796642713                ---                ---         ---       ---                   --- 
     WOCS1007    132.8931    11.85297    831.76    Kurucz2003    10417    8000      4.5        0      ---    12.881796730412    5.4037088402129E-21    1.2472626955603E-9    9.1123922808897E-12    0.61953504871836    26.971141721979    0.91043381732584    220883       14       19    0.1736+-0.017       125      0.25      0.175        7875        8125        4.25        4.75       -0.25         0.1       ---       ---    2.7119126592717    0.035864960147145    2.7034780786761    0.096018272597477        8.4817168386249        4.8876200065694        8.4290392771047        4.8889469750465              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    10.538789772598    2.7372726088124                ---                ---         ---       ---                   --- 
