# Object model fit+ results
#
#    Object          RA         DEC    D (pc)         Model     mfid    Teff     logg    Meta.     more               Chi2                     Md                   Ftot                   Ferr           Fobs/Ftot                 Lbol                 Lberr    MaxLam     Nfit     Ntot               Av    e_Teff    e_logg    e_Meta.    Teff_min    Teff_max    logg_min    logg_max    Meta_min    Meta_max          excfit    err_Av                Rad1                 eRad1                Rad2                eRad2                     M1                    eM1                     M2                    eM2    Teff_min_68cl    Teff_max_68cl    Teff_min_96cl    Teff_max_96cl    logg_min_68cl    logg_max_68cl    logg_min_96cl    logg_max_96cl    Meta_min_68cl    Meta_max_68cl    Meta_min_96cl    Meta_max_96cl    Av_min_68cl    Av_max_68cl    Av_min_96cl    Av_max_96cl    Ftot_min_68cl    Ftot_max_68cl    Ftot_min_96cl    Ftot_max_96cl                Vgf               Vgfb    Teff_pol    logg_pol    Meta_pol    Av_pol       Ftot_pol 
#     (---)       (deg)       (deg)      (pc)         (---)    (---)     (K)    (---)    (---)    (---)              (---)                  (---)            (erg/cm2/s)            (erg/cm2/s)               (---)               (Lsun)                (Lsun)       (A)    (---)    (---)            (---)       (K)     (---)      (---)         (K)         (K)       (---)       (---)       (---)       (---)           (---)     (---)               (---)                 (---)               (---)                (---)                  (---)                  (---)                  (---)                  (---)              (K)              (K)              (K)              (K)            (---)            (---)            (---)            (---)            (---)            (---)            (---)            (---)          (---)          (---)          (---)          (---)      (erg/cm2/s)      (erg/cm2/s)      (erg/cm2/s)      (erg/cm2/s)              (---)              (---)         (K)       (---)       (---)     (---)    (erg/cm2/s) 
#==========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10187    3500        0        0      ---    190.62030898583    2.9499242590844E-22    3.2939489487789E-12    4.5702523384911E-14    0.63395533267216    0.071229232012403    0.0028722923082429    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625           0        0.25       -0.25         0.1    WISE/WISE.W1       ---    0.63362916768081    0.0083797259359538    0.72584886671836    0.053872264894207     1.4642077266444E-5     8.4375499850817E-6     1.9214309364474E-5     1.1422464459488E-5              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    188.67004338714    70.807196753811         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10188    3500      0.5        0      ---    190.88763965094    3.0468267962138E-22    3.3399390535047E-12    4.5702523384911E-14    0.62522593022679    0.072223734322769    0.0028985968321778    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        0.25        0.75       -0.25         0.1             ---       ---    0.64395217047483    0.0085162473252178    0.73089845202316    0.054228118136758     4.7823306003293E-5     2.7558353060968E-5     6.1609325885546E-5     3.6624528993151E-5              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    188.61970363205    71.850935683438         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10189    3500        1        0      ---    192.22299125488     3.138109165119E-22    3.3834278440304E-12    4.5702523384911E-14    0.61718960707633    0.073164147546673    0.0029234707031572    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        0.75        1.25       -0.25         0.1             ---       ---    0.65352732639348    0.0086428784629319    0.73564151584432    0.054562562307405    0.00015576141226239     8.9758077204168E-5    0.00019736258915511    0.00011732262440571              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    189.61117836853    73.086736385444         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10190    3500      1.5        0      ---    194.41540247471    3.2046811635515E-22    3.4147146097234E-12    4.5702523384911E-14    0.61153470796126     0.07384070092595    0.0029413654977423    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        1.25        1.75       -0.25         0.1             ---       ---    0.66042292744743    0.0087340725713207    0.73903495027831    0.054801952436818    0.00050301004349168    0.00028986135694597    0.00062988653932421    0.00037443220416031              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    191.52825745971    74.232507160993         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10191    3500        2        0      ---    197.53529148952     3.232669487225E-22    3.4267823603739E-12    4.5702523384911E-14    0.60938112842405     0.07410165718979    0.0029482677746064    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        1.75        2.25       -0.25         0.1             ---       ---    0.66330058467086    0.0087721294981478    0.74033968944837    0.054894019674192     0.0016045495494693    0.00092462748152643     0.0019989155090384     0.0011882367996114              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    194.51569924608    75.187284398148         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10192    3500      2.5        0      ---    201.98300750466    3.2033926619061E-22    3.4107330919452E-12    4.5702523384911E-14    0.61224858273426    0.073754603521894    0.0029390882267877    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        2.25        2.75       -0.25         0.1             ---       ---    0.66029014644081    0.0087323165466588    0.73860397150633    0.054771543924413      0.005028077989514     0.0028974481279811     0.0062915209889764     0.0037399627936083              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    199.04086179926    75.862500950499         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10193    3500        3        0      ---     208.8078927688     3.097441084001E-22    3.3583286951858E-12    4.5702523384911E-14    0.62180229845331    0.072621396847082    0.0029091149810848    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        2.75        3.25       -0.25         0.1             ---       ---    0.64927884883103    0.0085866924799718    0.73290784647069    0.054369782676924      0.015374283438137     0.0088594864399047      0.019589850207245      0.011645362562951              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    206.15932206819    76.292357992999         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10194    3500      3.5        0      ---    220.15042093996    2.8622295768603E-22    3.2479974349855E-12    4.5702523384911E-14    0.64292430749335    0.070235564202668    0.0028460098567976    220883       13       17    0.1736+-0.017       125      0.25      0.175        3500        3625        3.25        3.75       -0.25         0.1             ---       ---    0.62413991965417     0.008254230927426    0.72076818739368    0.053514439237695      0.044925849108313      0.025888683045154      0.059913348489836      0.035617905703911              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---     218.0332288072    76.381732836656         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10208    3750        2        0      ---    228.87500635602    1.6201104582971E-22    2.8893381059805E-12    4.5702523384911E-14    0.72273179013075    0.062479819060176    0.0026408708826526    220883       13       17    0.1736+-0.017       125      0.25      0.175        3625        3875        1.75        2.25       -0.25         0.1             ---       ---    0.46957183599089    0.0062100728526255    0.59218923311054    0.041415504859076    0.00080414886712796    0.00046339369328344     0.0012789494712165    0.00075764448333754              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---    228.44621669104    64.943187536444         ---         ---         ---       ---            --- 
      Y1168    132.8331    11.81147    831.76    Kurucz2003    10207    3750      1.5        0      ---    228.95795430687    1.5952369180702E-22    2.8734084718083E-12    4.5702523384911E-14    0.72673847874963    0.062135352395401    0.0026317597609047    220883       13       17    0.1736+-0.017       125      0.25      0.175        3625        3875        1.25        1.75       -0.25         0.1             ---       ---     0.4659532272189      0.00616221686473    0.59055453416373    0.041309011964691    0.00025039002340213    0.00014428815664448    0.00040220956025178    0.00023826983249469              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---              ---            ---            ---            ---            ---              ---              ---              ---              ---     228.5680477407    64.518324911977         ---         ---         ---       ---            --- 
