logAge,logL,logTe
8.0,-2.753,3.4028
8.0,-2.73,3.406
8.0,-2.673,3.4142
8.0,-2.6689999999999996,3.4147
8.0,-2.595,3.4243
8.0,-2.536,3.4325
8.0,-2.434,3.4443
8.0,-2.431,3.4447
8.0,-2.4290000000000003,3.4448
8.0,-2.336,3.4557
8.0,-2.186,3.4723
8.0,-2.184,3.4725
8.0,-2.134,3.4776
8.0,-2.033,3.488
8.0,-1.949,3.4958
8.0,-1.9080000000000001,3.4995
8.0,-1.794,3.5098
8.0,-1.679,3.5205
8.0,-1.555,3.5326
8.0,-1.415,3.549
8.0,-1.3419999999999999,3.5596
8.0,-1.24,3.5742
8.0,-1.2329999999999999,3.5754
8.0,-1.0659999999999998,3.6059
8.0,-1.002,3.6208
8.0,-0.961,3.6295
8.0,-0.951,3.6313
8.0,-0.9390000000000001,3.6334
8.0,-0.8420000000000001,3.65
8.0,-0.841,3.6502
8.0,-0.6970000000000001,3.6767
8.0,-0.569,3.6961
8.0,-0.451,3.7135
8.0,-0.44799999999999995,3.7141
8.0,-0.33399999999999996,3.731
8.0,-0.225,3.746
8.0,-0.067,3.7659
8.0,-0.03,3.7705
8.0,-0.018000000000000002,3.7719
8.0,0.08,3.7832
8.0,0.111,3.7869
8.0,0.177,3.7942
8.0,0.267,3.8041
8.0,0.353,3.8138
8.0,0.434,3.8229
8.0,0.511,3.8324
8.0,0.583,3.8421
8.0,0.6509999999999999,3.853
8.0,0.718,3.8655
8.0,0.78,3.8789
8.0,0.8420000000000001,3.8922
8.0,0.889,3.9023
8.0,0.9,3.9046
8.0,0.956,3.9165
8.0,1.0090000000000001,3.9277
8.0,1.047,3.9354
8.0,1.061,3.9381
8.0,1.1,3.9459
8.0,1.111,3.948
8.0,1.159,3.9571
8.0,1.206,3.9657
8.0,1.251,3.9739
8.0,1.295,3.9817
8.0,1.338,3.9891
8.0,1.3769999999999998,3.9957
8.0,1.379,3.9961
8.0,1.42,4.003
8.0,1.46,4.0095
8.0,1.499,4.0158
8.0,1.5030000000000001,4.0165
8.0,1.575,4.028
8.0,1.651,4.04
8.0,1.7180000000000002,4.0503
8.0,1.8419999999999999,4.0689
8.0,1.8519999999999999,4.0703
8.0,1.93,4.0816
8.0,1.9780000000000002,4.0885
8.0,2.019,4.0941
