Temp,SF,ChiSqr
14500,2.5134537024217633e-25,11.75494354295968
15000,2.155675646282166e-25,11.793693978092898
14000,2.9306122769968656e-25,13.529389266975793
18500,8.579432611526106e-26,13.531227056611481
17250,1.1663624156244889e-25,14.008742993371103
13250,3.9841282861347954e-25,14.945862733991339
19000,7.358191607733229e-26,15.6789824821309
20000,6.310788392157416e-26,15.912033020366323
17000,1.1663624156244889e-25,16.201406279295206
25000,2.511647975867549e-26,17.434801733516345
35000,8.573268937505855e-27,18.106575246437092
13750,3.417006770329409e-25,18.14935227266882
23000,3.414551909173555e-26,18.747620041867073
70000,2.926402942650225e-27,18.759745619476035
80000,2.5098435465914132e-27,19.21738130650972
45000,5.408589534584713e-27,20.244833823598135
60000,3.412098811649937e-27,21.60991289349156
30000,1.3589668767579416e-26,21.653302977284337
13500,3.417006770329409e-25,21.788583208384626
38000,7.352905303090229e-27,22.804308109063165
22000,3.981265991024789e-26,23.05375230792534
28000,1.5845149680782225e-26,23.68165790490209
17500,1.0003363307141847e-25,24.450881522311075
14750,2.155675646282166e-25,24.676392084325858
14250,2.9306122769968656e-25,26.48500205027927
18750,8.579432611526106e-26,27.90039362896696
32000,9.996176646517164e-27,27.942775964491755
21000,5.412477991023387e-26,28.789927844989833
19500,6.310788392157416e-26,29.041354659073487
36000,7.352905303090229e-27,30.046626236757085
14250,2.5134537024217633e-25,30.87798845287363
18750,7.358191607733229e-26,31.69512777796988
19500,7.358191607733229e-26,31.91321859287144
29000,1.3589668767579416e-26,32.81946622536886
14750,2.5134537024217633e-25,33.20704857972462
21000,4.6420377586606924e-26,33.41489005261497
29000,1.5845149680782225e-26,34.923456940476214
17500,1.1663624156244889e-25,35.59535252596524
36000,8.573268937505855e-27,38.77665681834208
32000,1.1655244723658957e-26,42.045914754586676
13500,3.9841282861347954e-25,44.88931577901245
13750,2.9306122769968656e-25,45.017510721883845
22000,4.6420377586606924e-26,45.823101742700665
38000,6.306254567577012e-27,48.08032018584142
30000,1.1655244723658957e-26,50.19120257929243
28000,1.8474973356625326e-26,51.17178305279132
17250,1.0003363307141847e-25,54.05937037521767
17000,1.3599438936803913e-25,54.459355445453305
20000,5.412477991023387e-26,54.59484342398044
45000,4.638702805310089e-27,55.882023889074546
11250,1.1672009613147952e-24,56.38778704933927
23000,3.981265991024789e-26,61.156839272466996
18500,7.358191607733229e-26,61.58423020452485
35000,7.352905303090229e-27,62.08073494347952
15000,1.8488255771318386e-25,62.57311778772302
19000,8.579432611526106e-26,63.166202096157605
60000,3.978405752257528e-27,63.84030290001921
11250,1.3609216130203045e-24,65.88860645113964
10750,2.1572254497554892e-24,68.02160134943158
14500,2.155675646282166e-25,69.07405463022764
14000,3.417006770329409e-25,70.79713815947956
80000,2.152579378785665e-27,72.54732238904526
13250,3.417006770329409e-25,73.34981413655215
25000,2.928506853529714e-26,74.39735134887785
10500,3.419463396385475e-24,74.51997175513017
