Temp,SF,ChiSqr
35000,8.101722764665492e-27,22.184051723161136
22000,4.0135720267505816e-26,22.189218693366005
60000,3.6399928971640396e-27,22.420341029092356
15000,1.9883129652585536e-25,26.13486134303709
28000,1.803242852661547e-26,38.11516344059942
23000,4.0135720267505816e-26,69.60228547009895
19000,8.933217392287712e-26,106.30048503276939
21000,4.0135720267505816e-26,136.3402083774504
29000,1.803242852661547e-26,167.15366333188555
70000,3.6399928971640396e-27,191.97685147852152
17000,8.933217392287712e-26,210.56774882288897
12000,9.8500498345758e-25,242.81997252908474
25000,1.803242852661547e-26,267.3794775691614
10000,4.87968863246889e-24,291.6059812629151
14000,1.9883129652585536e-25,333.23617031048633
11000,2.192377162055653e-24,348.50702953543146
80000,1.6353988745690956e-27,357.43848971838474
20000,4.0135720267505816e-26,358.16586054868435
08000,2.665485468919977e-22,405.03226225137485
30000,8.101722764665492e-27,428.82164654884326
30000,1.803242852661547e-26,431.0359255453718
09000,4.87968863246889e-24,452.923461720236
18000,1.9883129652585536e-25,555.2000064234502
70000,1.6353988745690956e-27,571.7190881274125
11000,9.8500498345758e-25,583.3409776395205
29000,8.101722764665492e-27,589.8856271124471
20000,8.933217392287712e-26,602.0544525951793
80000,3.6399928971640396e-27,621.8150779360182
13000,9.8500498345758e-25,634.1557907207875
19000,4.0135720267505816e-26,644.8509253980332
14000,4.425492265785818e-25,673.1370698506246
23000,1.803242852661547e-26,699.6490469952469
13000,4.425492265785818e-25,699.821648257204
16000,1.9883129652585536e-25,748.0912610717075
08000,1.1975660555404538e-22,766.1468427535744
28000,8.101722764665492e-27,768.5164006969454
27000,4.0135720267505816e-26,833.8890669011051
60000,1.6353988745690956e-27,839.7866666410571
26000,4.0135720267505816e-26,861.9866368314536
25000,4.0135720267505816e-26,932.1714093908447
35000,3.6399928971640396e-27,933.9390305812029
22000,1.803242852661547e-26,945.3377530673592
16000,4.425492265785818e-25,974.3684961602896
15000,8.933217392287712e-26,976.8582033456561
50000,8.101722764665492e-27,1000.4133387690778
24000,4.0135720267505816e-26,1055.6814133044345
40000,1.803242852661547e-26,1073.331148022688
24000,8.933217392287712e-26,1085.482268789029
09000,2.192377162055653e-24,1115.7083389990514
12000,4.425492265785818e-25,1118.6087850588478
10000,1.0860978467555232e-23,1167.0888793507409
17000,1.9883129652585536e-25,1184.09949903087
21000,1.803242852661547e-26,1194.3935651525899
18000,8.933217392287712e-26,1201.3779025224992
40000,8.101722764665492e-27,1245.485599269908
17000,4.0135720267505816e-26,1289.2247218216478
10000,2.192377162055653e-24,1343.5350455743883
25000,8.101722764665492e-27,1349.0652517798098
14000,8.933217392287712e-26,1415.439840548567
80000,7.347622796257651e-28,1435.8535457862574
20000,1.803242852661547e-26,1438.1193019406755
07000,2.9390491185030614e-21,1441.7530270216255
27000,1.803242852661547e-26,1476.9790446703278
30000,3.6399928971640396e-27,1499.6364544477458
26000,1.803242852661547e-26,1601.867373647716
11000,4.425492265785818e-25,1607.7355776856216
70000,7.347622796257651e-28,1614.3641000030514
29000,3.6399928971640396e-27,1628.4444080938492
13000,1.9883129652585536e-25,1657.6752322694963
16000,8.933217392287712e-26,1658.251116608611
07000,1.320474450499069e-21,1668.3749169156165
19000,1.803242852661547e-26,1669.7536594762603
21000,8.933217392287712e-26,1696.804621666351
50000,3.6399928971640396e-27,1704.618447732393
23000,8.101722764665492e-27,1708.7633888547487
08000,5.380500003115066e-23,1721.642208979571
28000,3.6399928971640396e-27,1756.4616169779924
60000,7.347622796257651e-28,1804.2922511875797
24000,1.803242852661547e-26,1848.4595937489376
35000,1.6353988745690956e-27,1865.620469508637
22000,8.101722764665492e-27,1873.0422157302155
15000,4.0135720267505816e-26,1893.2087431957275
09000,9.8500498345758e-25,1944.9138817652113
12000,1.9883129652585536e-25,1965.857218495227
40000,3.6399928971640396e-27,1973.1515457474652
18000,4.0135720267505816e-26,1991.4214671647578
21000,8.101722764665492e-27,2024.8609308483594
17000,1.803242852661547e-26,2079.877859928089
10000,9.8500498345758e-25,2107.8921977712416
25000,3.6399928971640396e-27,2113.6903134014537
27000,8.101722764665492e-27,2145.602722740611
14000,4.0135720267505816e-26,2150.937076160565
20000,8.101722764665492e-27,2163.443755409997
30000,1.6353988745690956e-27,2197.0923856686113
07000,5.932710560852737e-22,2215.100620521277
26000,8.101722764665492e-27,2224.3748366572
11000,1.9883129652585536e-25,2253.4668460851326
29000,1.6353988745690956e-27,2266.3577379368203
16000,4.0135720267505816e-26,2271.4182088730117
50000,1.803242852661547e-26,2274.710902000161
13000,8.933217392287712e-26,2275.420897706759
50000,1.6353988745690956e-27,2278.7264189659363
19000,8.101722764665492e-27,2288.2711089725335
23000,3.6399928971640396e-27,2308.702320635171
08000,2.4173848406597176e-23,2311.0574678389
28000,1.6353988745690956e-27,2333.5150317349203
24000,8.101722764665492e-27,2367.375404195175
35000,7.347622796257651e-28,2389.590685890601
22000,3.6399928971640396e-27,2393.389540594033
15000,1.803242852661547e-26,2403.6622069851446
26000,8.933217392287712e-26,2413.811172182519
09000,4.425492265785818e-25,2424.7371098578255
40000,1.6353988745690956e-27,2431.3541351723115
12000,8.933217392287712e-26,2438.111199671405
18000,1.803242852661547e-26,2447.250712809835
21000,3.6399928971640396e-27,2469.6580580731147
17000,8.101722764665492e-27,2496.8815887376586
10000,4.425492265785818e-25,2510.197451695972
25000,1.6353988745690956e-27,2513.4713164454015
27000,3.6399928971640396e-27,2522.650133561745
14000,1.803242852661547e-26,2531.704688028351
20000,3.6399928971640396e-27,2537.791494684595
07000,2.665485468919977e-22,2550.5452093706353
30000,7.347622796257651e-28,2554.1224933903572
26000,3.6399928971640396e-27,2562.615772686263
11000,8.933217392287712e-26,2581.026673246035
29000,7.347622796257651e-28,2587.542378473051
16000,1.803242852661547e-26,2588.134242917284
50000,7.347622796257651e-28,2588.6877925269046
13000,4.0135720267505816e-26,2590.792799677838
19000,3.6399928971640396e-27,2598.064725387854
23000,1.6353988745690956e-27,2607.8305209481437
08000,1.0860978467555232e-23,2608.196054678687
28000,7.347622796257651e-28,2619.6613272993704
24000,3.6399928971640396e-27,2633.3658306940947
22000,1.6353988745690956e-27,2648.075341399752
15000,8.101722764665492e-27,2652.9353862574285
09000,1.9883129652585536e-25,2661.968944408807
40000,7.347622796257651e-28,2663.716650538698
12000,4.0135720267505816e-26,2668.7780134328477
18000,8.101722764665492e-27,2672.410681154722
21000,1.6353988745690956e-27,2683.968404244317
17000,3.6399928971640396e-27,2696.705253977893
10000,1.9883129652585536e-25,2702.8351249436796
25000,7.347622796257651e-28,2704.441040485452
27000,1.6353988745690956e-27,2707.523572729622
14000,8.101722764665492e-27,2712.935611838377
