Teff,sf,chi2,chi2_r,vgf2,vgfb2,sf_index
14750,2.297416624230241e-25,11.708532319636317,1.064412029057847,0.9556494181446069,0.1801945319870912,113.0
14500,2.5433181802516197e-25,12.208153644991233,1.1098321495446575,1.0010771832160066,0.1972991410829925,115.0
17500,1.0716000774987575e-25,12.400060921482913,1.1272782655893556,1.018477073821856,0.20336047221258668,98.0
17250,1.1274913132483123e-25,12.496589470885757,1.1360535882623415,1.027254169468767,0.2118183848731734,99.0
14000,2.962389094809278e-25,12.658209899800653,1.150746354527332,1.0420035360831947,0.19277785733293956,118.0
13750,3.279465275190116e-25,13.006821971112883,1.182438361010262,1.073704972459398,0.21498690147398858,120.0
15000,2.18353064333531e-25,13.026009807969993,1.184182709815454,1.0754169917146357,0.199104731555654,112.0
14250,2.6759695293728e-25,13.387958464773172,1.2170871331611974,1.1083356673968543,0.18603941908509708,116.0
17000,1.1862976572543944e-25,13.419196484501706,1.2199269531365187,1.1111293730609997,0.22708090374801573,100.0
19000,7.507052601523092e-26,13.53662829436081,1.230602572214619,1.121790345972498,0.2440469537358566,91.0
18750,7.898596476468846e-26,13.631398944528094,1.2392180858661903,1.1304072034850756,0.24684282236505678,92.0
19500,6.781230747937225e-26,13.648589974655442,1.2407809067868583,1.1319661391641065,0.24421358084075512,89.0
18500,8.310562028755244e-26,13.910474341677613,1.2645885765161466,1.1557790906571694,0.2521084075426783,93.0
20000,6.125585219349525e-26,13.918620763499064,1.2653291603180967,1.1565120382465002,0.25058507011528736,87.0
13500,3.6304793688386827e-25,13.940767064239171,1.2673424603853791,1.1586193658078296,0.24600490453649984,122.0
21000,4.9983390647749615e-26,14.804967391005862,1.3459061264550785,1.2370848110098764,0.28273686296331896,83.0
13250,4.019063884370366e-25,15.11876950314575,1.374433591195068,1.2657217133527052,0.27866804873279866,124.0
23000,3.501566962098029e-26,15.732743780070567,1.4302494345518697,1.321422353063557,0.3087202325734593,76.0
22000,4.291254864790971e-26,16.202205153860103,1.4729277412600092,1.364103874975565,0.24575676291676504,80.0
25000,2.5809502117154598e-26,16.453304472142563,1.4957549520129603,1.3869241628381552,0.29522543626879066,70.0
