Te,logg,sf,chi2
11750,9.5,4.334518563596875e-23,198.70731168085211
11750,9.5,4.334518563596875e-23,217.24069921872865
11750,9.5,4.334518563596875e-23,251.145445950469
12000,9.5,3.5232289613712035e-23,212.69418708539774
11750,9.5,4.334518563596875e-23,222.7318430768419
11750,9.5,4.4354824710395383e-23,229.68956198648263
11750,9.5,4.334518563596875e-23,197.60560693976464
11750,9.5,4.4354824710395383e-23,255.84484876136793
11750,9.5,4.334518563596875e-23,169.11409655356036
11750,9.5,4.334518563596875e-23,241.26170516462216
11750,9.5,4.4354824710395383e-23,217.20865963512827
12000,9.5,3.5232289613712035e-23,216.98093726498743
11750,9.5,4.334518563596875e-23,208.49392496339598
11750,9.5,4.4354824710395383e-23,181.2141892527742
11750,9.5,4.4354824710395383e-23,234.97173647945678
11750,9.5,4.334518563596875e-23,236.8479220599996
11750,9.5,4.334518563596875e-23,228.8122637964014
11750,9.5,4.334518563596875e-23,232.7468536697955
11750,9.5,4.4354824710395383e-23,186.01230775258486
11750,9.5,4.334518563596875e-23,197.7668303952058
12000,9.5,3.5232289613712035e-23,198.7635678483857
11750,9.5,4.334518563596875e-23,209.64873280823085
11750,9.5,4.334518563596875e-23,203.32457783297568
11750,9.5,4.4354824710395383e-23,247.49533577586092
11750,9.5,4.334518563596875e-23,196.82006530622917
11750,9.5,4.334518563596875e-23,198.92740413893236
11750,9.5,4.334518563596875e-23,246.8391801723615
11750,9.5,4.4354824710395383e-23,215.61293872371851
11750,9.5,4.4354824710395383e-23,220.55505837027647
12000,9.5,3.5232289613712035e-23,156.4589936241393
11750,9.5,4.334518563596875e-23,216.782635160736
11750,9.5,4.334518563596875e-23,185.40639457747943
11750,9.5,4.4354824710395383e-23,151.45131325487245
11750,9.5,4.235852875270767e-23,181.5886667473389
11750,9.5,4.334518563596875e-23,198.2633236750741
11750,9.5,4.235852875270767e-23,148.68853257590544
11750,9.5,4.4354824710395383e-23,234.29933641161435
11750,9.5,4.334518563596875e-23,200.50126360204487
11750,9.5,4.4354824710395383e-23,253.95349559492672
11750,9.5,4.4354824710395383e-23,301.99652343545415
11750,9.5,4.334518563596875e-23,162.3511895987807
11750,9.5,4.334518563596875e-23,195.04049869875064
11750,9.5,4.4354824710395383e-23,193.86827016033288
11750,9.5,4.334518563596875e-23,187.03548947530106
11750,9.5,4.334518563596875e-23,155.59186344735662
11750,9.5,4.334518563596875e-23,223.08743835454283
11750,9.5,4.4354824710395383e-23,209.09091063197175
11750,9.5,4.4354824710395383e-23,211.62669776569203
11750,9.5,4.334518563596875e-23,261.23587960924
11750,9.5,4.4354824710395383e-23,190.6743991909231
11750,9.5,4.235852875270767e-23,193.334891921686
11750,9.5,4.334518563596875e-23,208.47456577214578
11750,9.5,4.334518563596875e-23,165.57991330672235
11750,9.5,4.334518563596875e-23,223.4679205022382
11750,9.5,4.235852875270767e-23,247.45220021858466
11750,9.5,4.235852875270767e-23,218.9084454238085
11750,9.5,4.334518563596875e-23,171.3940758633451
11750,9.5,4.235852875270767e-23,278.98760035810164
11750,9.5,4.235852875270767e-23,246.41307354528408
11750,9.5,4.334518563596875e-23,196.32731947346716
11750,9.5,4.334518563596875e-23,174.94975022707166
11750,9.5,4.4354824710395383e-23,250.6076457450645
11750,9.5,4.334518563596875e-23,229.72782780486847
11750,9.5,4.334518563596875e-23,199.21783126051713
11750,9.5,4.334518563596875e-23,285.4868351067735
11750,9.5,4.235852875270767e-23,240.27833624245923
11750,9.5,4.334518563596875e-23,252.62836545314195
11750,9.5,4.4354824710395383e-23,228.70939735173212
11750,9.5,4.334518563596875e-23,188.07309841412746
11750,9.5,4.4354824710395383e-23,167.1681641527976
11750,9.5,4.334518563596875e-23,293.763516200799
11750,9.5,4.334518563596875e-23,224.2088053841022
11750,9.5,4.334518563596875e-23,252.43521798215954
11750,9.5,4.5387981299988987e-23,204.51401244573398
11750,9.5,4.4354824710395383e-23,182.05445990966396
11750,9.5,4.4354824710395383e-23,209.16938077299184
11750,9.5,4.334518563596875e-23,208.81900672526018
11750,9.5,4.4354824710395383e-23,254.88685789370555
11750,9.5,4.4354824710395383e-23,199.22850736801536
11750,9.5,4.235852875270767e-23,162.88892517942045
12000,9.5,3.6052955063717657e-23,236.06619076309838
11750,9.5,4.235852875270767e-23,247.40758239118045
11750,9.5,4.4354824710395383e-23,215.6410023522327
11750,9.5,4.4354824710395383e-23,206.76382791750223
11750,9.5,4.334518563596875e-23,219.98658908740526
12000,9.5,3.6052955063717657e-23,236.63945607736886
11750,9.5,4.334518563596875e-23,192.84610999440153
11750,9.5,4.4354824710395383e-23,195.7648789916875
11750,9.5,4.4354824710395383e-23,219.78140647554392
11750,9.5,4.334518563596875e-23,215.29544447538314
11750,9.5,4.334518563596875e-23,235.48290876842037
11750,9.5,4.334518563596875e-23,178.86411067604942
12000,9.5,3.44303047900141e-23,193.36603516476953
11750,9.5,4.5387981299988987e-23,237.12181347664364
11750,9.5,4.4354824710395383e-23,236.93048587226605
11750,9.5,4.334518563596875e-23,184.42419239829397
11750,9.5,4.334518563596875e-23,234.20154115022783
11750,9.5,4.334518563596875e-23,243.65619732997754
12000,9.5,3.6052955063717657e-23,248.98070302437972
11750,9.5,4.5387981299988987e-23,187.31271944360725
