Te,logg,MH,alpha,sf,chi2,R,L,vgf2,vgfb2
5250,4.5,0.0,0.0,2.0899499249285058e-20,1438.900588983247,5.328408429175438,19.431088826946418,1410.227967221542,367.20948460904896
5250,4.0,0.0,0.0,2.0899499249285058e-20,1440.1567173559904,5.328408429175438,19.431088826946418,1413.6302075258586,367.34978875928493
5250,5.0,0.0,0.0,2.0899499249285058e-20,1467.3236319719017,5.328408429175438,19.431088826946418,1433.953179627223,369.359950002804
5250,3.5,0.0,0.0,2.0899499249285058e-20,1476.9439087093617,5.328408429175438,19.431088826946418,1450.89764074922,370.2153448919887
5250,4.5,0.0,0.0,2.138631112397036e-20,1543.9528614624357,5.390108490859142,19.8836970289992,1404.3956663228557,371.28738452697365
5250,4.0,0.0,0.0,2.138631112397036e-20,1546.869697795716,5.390108490859142,19.8836970289992,1407.239874563078,371.42486827505013
5250,3.0,0.0,0.0,2.0899499249285058e-20,1558.9378122868482,5.328408429175438,19.431088826946418,1529.2401558664108,376.2744366610573
5250,5.0,0.0,0.0,2.138631112397036e-20,1583.7699365258507,5.390108490859142,19.8836970289992,1429.4193339774583,373.4919899331117
5250,3.5,0.0,0.0,2.138631112397036e-20,1600.0148060767312,5.390108490859142,19.8836970289992,1444.6883409934194,374.3406009850437
5250,4.0,0.0,0.0,2.042376856573931e-20,1644.1928567762984,5.267414642257489,18.988783245390554,1445.1586151154177,364.9119951804049
5250,4.5,0.0,0.0,2.042376856573931e-20,1644.4878781458497,5.267414642257489,18.988783245390554,1441.2390745614682,364.76920261845845
5500,5.0,0.0,0.0,1.698775076236703e-20,1659.8811236380402,4.803939249120791,19.02438741788549,1371.5976314246168,351.3893070604451
5250,5.0,0.0,0.0,2.042376856573931e-20,1662.248272465435,5.267414642257489,18.988783245390554,1463.7281916882187,366.86693847430644
5250,3.5,0.0,0.0,2.042376856573931e-20,1665.6762635546788,5.267414642257489,18.988783245390554,1482.218918064762,367.7277880620058
5500,4.5,0.0,0.0,1.698775076236703e-20,1680.7091696438604,4.803939249120791,19.02438741788549,1376.1288085864041,351.161943348975
5500,4.0,0.0,0.0,1.698775076236703e-20,1702.3730772033337,4.803939249120791,19.02438741788549,1381.500965033329,351.3905453277289
5250,3.0,0.0,0.0,2.138631112397036e-20,1714.702164037982,5.390108490859142,19.8836970289992,1524.1311659949636,380.51705093320226
5250,3.0,0.0,0.0,2.042376856573931e-20,1717.0748579731371,5.267414642257489,18.988783245390554,1559.454302827611,373.67114730363414
5500,3.5,0.0,0.0,1.698775076236703e-20,1735.736664496256,4.803939249120791,19.02438741788549,1395.133298623798,352.5417418683875
5500,3.0,0.0,0.0,1.698775076236703e-20,1809.3715183402578,4.803939249120791,19.02438741788549,1438.7289975115555,356.10315193096125
5500,5.0,0.0,0.0,1.738344630974228e-20,1810.82903306427,4.859566243923325,19.46752232715643,1312.8560061607961,353.47095124706425
5500,4.5,0.0,0.0,1.738344630974228e-20,1818.2205584494961,4.859566243923325,19.46752232715643,1317.3562777079335,353.27552959257395
5500,5.0,0.0,0.0,1.660106234530545e-20,1822.4097190399605,4.7489490112622805,18.591339490641033,1452.0261698208453,350.8282469907123
5500,4.0,0.0,0.0,1.738344630974228e-20,1844.204252989615,4.859566243923325,19.46752232715643,1321.22448939187,353.43945154343163
5500,4.5,0.0,0.0,1.660106234530545e-20,1855.7561174982866,4.7489490112622805,18.591339490641033,1456.5815476174253,350.5713061499065
5500,4.0,0.0,0.0,1.660106234530545e-20,1873.3663707401415,4.7489490112622805,18.591339490641033,1463.3517632414917,350.8600368415553
5500,3.5,0.0,0.0,1.660106234530545e-20,1885.9839371227345,4.7489490112622805,18.591339490641033,1479.7300564321843,352.15750671167035
5500,3.5,0.0,0.0,1.738344630974228e-20,1899.7609768195496,4.859566243923325,19.46752232715643,1331.8995091618938,354.4326496445744
5500,3.0,0.0,0.0,1.660106234530545e-20,1920.2439550780903,4.7489490112622805,18.591339490641033,1526.5804321447642,355.89405794408674
