Te,logg,MH,alpha,sf,chi2
5250,4.5,0.0,0.0,2.0899499249285058e-20,1438.900588983247
5250,4.5,0.0,0.0,2.0899499249285058e-20,1447.4198747651662
5250,4.5,0.0,0.0,2.0899499249285058e-20,1442.9711670653453
5250,4.5,0.0,0.0,2.0899499249285058e-20,1470.8466467689807
5250,4.5,0.0,0.0,2.0899499249285058e-20,1469.6590155207818
5250,4.5,0.0,0.0,2.0899499249285058e-20,1541.2402853058009
5250,4.5,0.0,0.0,2.0899499249285058e-20,1482.3799781211035
5250,4.5,0.0,0.0,2.0899499249285058e-20,1481.5260734097915
5250,4.0,0.0,0.0,2.0899499249285058e-20,1368.2933128191714
5250,4.5,0.0,0.0,2.0899499249285058e-20,1434.5439458292647
5250,4.5,0.0,0.0,2.0899499249285058e-20,1480.1699541435
5250,4.5,0.0,0.0,2.0899499249285058e-20,1402.6898156067498
5250,4.5,0.0,0.0,2.0899499249285058e-20,1337.8498584562053
5250,4.5,0.0,0.0,2.0899499249285058e-20,1476.48456017442
5250,4.5,0.0,0.0,2.0899499249285058e-20,1501.0902304646345
5250,4.5,0.0,0.0,2.0899499249285058e-20,1422.9608976503723
5250,4.5,0.0,0.0,2.0899499249285058e-20,1379.4503957578565
5250,4.0,0.0,0.0,2.0899499249285058e-20,1519.9451077780889
5250,4.5,0.0,0.0,2.0899499249285058e-20,1549.4116297096077
5250,4.5,0.0,0.0,2.0899499249285058e-20,1420.5940192934181
5250,4.5,0.0,0.0,2.0899499249285058e-20,1408.5555708751624
5250,4.5,0.0,0.0,2.0899499249285058e-20,1421.9966527223974
5250,4.5,0.0,0.0,2.0899499249285058e-20,1431.2595191468326
5250,4.5,0.0,0.0,2.0899499249285058e-20,1438.0787546859208
5250,4.5,0.0,0.0,2.0899499249285058e-20,1437.2061433554863
5250,4.5,0.0,0.0,2.0899499249285058e-20,1420.5143411853376
5250,4.5,0.0,0.0,2.0899499249285058e-20,1421.722189875055
5250,4.5,0.0,0.0,2.0899499249285058e-20,1502.1364126881485
