Te,logg,sf,chi2
38000,9.5,2.086206943661744e-25,58.67737483573126
38000,9.5,2.086206943661744e-25,57.42072366731124
38000,9.5,2.086206943661744e-25,92.21762058302485
45000,6.5,1.6957326668416485e-25,35.76501142115585
40000,9.25,1.9923121641033908e-25,71.51474347553786
45000,8.0,1.7352313547606199e-25,52.06534131344711
38000,9.5,2.086206943661744e-25,64.22237616490432
45000,6.5,1.6957326668416485e-25,66.11545796951266
40000,8.25,1.9923121641033908e-25,77.63305665672709
38000,9.5,2.086206943661744e-25,60.519193966130295
38000,9.5,2.086206943661744e-25,70.28986548435925
38000,9.5,2.086206943661744e-25,35.99144756382107
38000,9.5,2.086206943661744e-25,34.91835730995839
40000,9.25,1.9923121641033908e-25,82.21896918820991
45000,7.75,1.7352313547606199e-25,52.96407283001342
45000,6.5,1.6957326668416485e-25,47.932557136817415
38000,9.5,2.086206943661744e-25,59.66876670698693
45000,6.5,1.6957326668416485e-25,89.07713489023516
45000,7.5,1.7352313547606199e-25,64.46248104729932
38000,9.5,2.086206943661744e-25,59.943561486404434
38000,9.5,2.086206943661744e-25,37.20563044289787
38000,9.5,2.086206943661744e-25,44.17538897340232
38000,9.5,2.086206943661744e-25,55.36965675317889
45000,6.5,1.6957326668416485e-25,67.77717290875029
38000,9.5,2.086206943661744e-25,44.44424712202625
40000,9.0,1.9923121641033908e-25,47.54130082485794
45000,6.5,1.6957326668416485e-25,64.9220269953873
45000,7.75,1.7352313547606199e-25,61.93791607783895
45000,6.5,1.6957326668416485e-25,54.11784721863913
40000,9.5,1.9923121641033908e-25,37.538612434859786
40000,9.0,1.9923121641033908e-25,73.12392124252676
40000,8.5,1.9923121641033908e-25,41.68132476362503
40000,9.5,1.9923121641033908e-25,59.985967866073175
40000,8.0,1.9923121641033908e-25,62.50451046674289
38000,9.5,2.086206943661744e-25,64.15866159939416
40000,6.5,1.9469616025248478e-25,60.198322658851076
45000,7.75,1.7352313547606199e-25,66.0790637182344
38000,9.5,2.086206943661744e-25,56.431302940492344
45000,6.5,1.6957326668416485e-25,68.63341438339337
45000,6.5,1.6957326668416485e-25,75.6599366584042
38000,9.5,2.086206943661744e-25,87.79102435714326
40000,9.0,1.9923121641033908e-25,42.88787786849771
45000,7.5,1.7352313547606199e-25,74.6157240385578
40000,8.5,1.9923121641033908e-25,60.298611849539554
45000,7.75,1.7352313547606199e-25,41.79571928953203
38000,9.5,2.086206943661744e-25,56.43731315671351
45000,8.0,1.7352313547606199e-25,42.340887755839056
45000,7.5,1.7352313547606199e-25,67.08202507994098
38000,9.5,2.086206943661744e-25,95.15912774242625
38000,9.5,2.086206943661744e-25,86.96338275221963
40000,6.5,1.9469616025248478e-25,47.47534013693246
45000,6.5,1.6957326668416485e-25,34.77599452511504
38000,9.5,2.086206943661744e-25,54.640743085021995
40000,8.75,1.9923121641033908e-25,79.48667860207318
38000,9.25,2.086206943661744e-25,53.03813797419018
40000,6.5,1.9469616025248478e-25,79.93016539704419
40000,9.25,1.9923121641033908e-25,42.96623055620868
40000,6.5,1.9469616025248478e-25,89.70103558127735
38000,9.25,2.086206943661744e-25,65.93240730359057
40000,8.5,1.9923121641033908e-25,36.56066254595477
38000,9.5,2.086206943661744e-25,49.838534988214
45000,6.5,1.6957326668416485e-25,72.35268581887306
38000,9.5,2.086206943661744e-25,77.45932147077289
38000,9.5,2.086206943661744e-25,51.08394279349885
45000,6.5,1.6957326668416485e-25,95.54007641810405
38000,9.5,2.086206943661744e-25,63.56714548114385
40000,8.75,1.9923121641033908e-25,68.32775690691773
40000,9.25,1.9923121641033908e-25,75.84621971693844
38000,9.5,2.086206943661744e-25,84.22392136285815
40000,9.5,1.9923121641033908e-25,52.773385657595256
45000,6.5,1.6957326668416485e-25,61.342984759565965
38000,9.5,2.086206943661744e-25,74.13644424658837
40000,6.5,1.9469616025248478e-25,85.18567024740162
45000,9.0,1.7352313547606199e-25,42.19929670562985
40000,9.0,1.9923121641033908e-25,71.35174677784018
45000,7.75,1.7352313547606199e-25,91.58004880014532
38000,9.5,2.086206943661744e-25,54.490903894456046
45000,6.5,1.6957326668416485e-25,72.6797647679918
45000,7.5,1.7352313547606199e-25,63.354549284104166
40000,6.5,1.9469616025248478e-25,85.0702977496208
45000,6.5,1.6957326668416485e-25,38.32219454409485
38000,9.25,2.086206943661744e-25,43.43534868777045
45000,6.5,1.6957326668416485e-25,71.17154869356231
45000,6.5,1.6957326668416485e-25,67.81414058796248
38000,9.5,2.086206943661744e-25,36.31457086725552
45000,6.5,1.6957326668416485e-25,39.38643014346222
40000,8.5,1.9923121641033908e-25,46.67029488924998
45000,7.5,1.7352313547606199e-25,54.275476207360015
45000,7.5,1.7352313547606199e-25,55.36863024609282
38000,9.5,2.086206943661744e-25,58.44968080387322
38000,9.5,2.086206943661744e-25,64.30981422342006
40000,8.0,1.9923121641033908e-25,59.60536926920597
38000,9.5,2.086206943661744e-25,36.34606669471268
45000,8.75,1.7352313547606199e-25,51.93235143610928
45000,7.75,1.7352313547606199e-25,80.78691698089212
40000,8.75,1.9923121641033908e-25,68.77464157261187
38000,9.5,2.086206943661744e-25,61.286985532270364
38000,9.5,2.086206943661744e-25,78.34136770059976
45000,6.5,1.6957326668416485e-25,37.91549391331061
45000,7.5,1.7352313547606199e-25,71.4370567288792
